yh [-],xl [-],z[-],c_m [user_defined],c_s [user_defined],vfrac_liqwater [-],vfrac_swe [-],v_liqwater [mm*mm*m],v_swe [mm*mm*m],v_air [mm*mm*m]
37,1,0,0,0.141758823073791,0,1,0,32.0384461353624,5
37,2,0,0,0.141758823073791,0,1,0,32.0384461353624,5
37,3,0,0,0.141758823073791,0,1,0,32.0384461353624,5
37,4,0,0,0.141758823073791,0,1,0,32.0384461353624,5
37,5,0,0,0.141758823073791,0,1,0,32.0384461353624,5
37,6,0,0,0.141758823073791,0,1,0,32.0384461353624,5
37,7,0,0,0.141758823073791,0,1,0,32.0384461353624,5
37,8,0,0,0.141758823073791,0,1,0,32.0384461353624,5
37,9,0,0,0.141758823073791,0,1,0,32.0384461353624,5
38,0,0,0,0.141758823073791,0,1,0,32.0384461353624,5
38,1,0,0,0.141758823073791,0,1,0,32.0384461353624,5
38,2,0,0,0.141758823073791,0,1,0,32.0384461353624,5
38,3,0,0,0.141758823073791,0,1,0,32.0384461353624,5
38,4,0,0,0.141758823073791,0,1,0,32.0384461353624,5
38,5,0,0,0.141758823073791,0,1,0,32.0384461353624,5
38,6,0,0,0.141758823073791,0,1,0,32.0384461353624,5
38,7,0,0,0.141758823073791,0,1,0,32.0384461353624,5
38,8,0,0,0.141758823073791,0,1,0,32.0384461353624,5
38,9,0,0,0.141758823073791,0,1,0,32.0384461353624,5
39,0,0,0,0.141758823073791,0,1,0,32.0384461353624,5
39,1,0,0,0.141758823073791,0,1,0,32.0384461353624,5
39,2,0,0,0.141758823073791,0,1,0,32.0384461353624,5
39,3,0,0,0.141758823073791,0,1,0,32.0384461353624,5
39,4,0,0,0.141758823073791,0,1,0,32.0384461353624,5
39,5,0,0,0.141758823073791,0,1,0,32.0384461353624,5
39,6,0,0,0.141758823073791,0,1,0,32.0384461353624,5
39,7,0,0,0.141758823073791,0,1,0,32.0384461353624,5
39,8,0,0,0.141758823073791,0,1,0,32.0384461353624,5
39,9,0,0,0.141758823073791,0,1,0,32.0384461353624,5
40,0,0,0,0.141758823073791,0,1,0,32.0384461353624,5
40,1,0,0,0.141758823073791,0,1,0,32.0384461353624,5
40,2,0,0,0.141758823073791,0,1,0,32.0384461353624,5
40,3,0,0,0.141758823073791,0,1,0,32.0384461353624,5
40,4,0,0,0.141758823073791,0,1,0,32.0384461353624,5
40,5,0,0,0.141758823073791,0,1,0,32.0384461353624,5
40,6,0,0,0.141758823073791,0,1,0,32.0384461353624,5
40,7,0,0,0.141758823073791,0,1,0,32.0384461353624,5
40,8,0,0,0.141758823073791,0,1,0,32.0384461353624,5
